sp56d,Thangal,600
sp56d,Ellaiamman Koil,700
sp56d,T.V.T Rly Gate,800
sp56d,Manali Rd Jn.,900
sp56d,Manali,1000
54tcu,T.Nagar,100
29n,T.Nagar,1000
32a,Tollgate,100
32a,Tondaiayrpet,200
32a,Theagaraya College,300
32a,V. Nagar,400
32a,Univercity Club,500
32a,Central,600
32a,P.Or & Sons,700
32a,V.House,800
32a,Dr.Ambedhar Bridge,900
32a,Santhome P.O,1000
32a,Fore Shore Estate,1100
s500b,High Court,100
s500b,Central,200
s500b,P.Or & Sons,300
s500b,T.V.S,400
s500b,D.M.S,500
s500b,S.H.B,600
s500b,Saidapet,700
s500b,Concorde,800
s500b,Guindy R.S,900
s500b,St Thomas Mount,1000
s500b,Menamabakkam Old Airport,1100
s500b,Thirusoolam National Airp,1200
s500b,Pallavaram,1300
s500b,Chrompet,1400
s500b,T.B.Sanatorium,1500
s500b,Tambaram,1600
s500b,Irumbuliyur,1700
s500b,Perungulathur,1800
s500b,Vandaloor,1900
s500b,Vandaloor Zoo,2000
s500b,Oorapakkam School,2100
s500b,Palakka Company,2200
s500b,Guduvanchery,2300
s500b,Thailapuram,2400
s500b,Maraimalai Nagar,2500
s500b,Ford,2600
s500b,Malrosapuram,2700
s500b,S.P.Koil,2800
49a,Poonamallee,100
49a,Kumunanchavadi,200
spp19,Broadway,100
spp19,Secretariat,200
spp19,Chepauk,300
spp19,Q.M.C,400
spp19,Fore Shore Estate,500
spp19,A.M.S.Hospital,600
spp19,Adayar O.T.,700
spp19,Adayar Depot,800
spp19,Thiruvanmiyur,900
spp19,Kottivakkam,1000
spp19,Palavakkam,1100
spp19,Neelankarai,1200
spp19,Vettuvankanni,1300
spp19,Chola Mandal,1400
spp19,Injambakkam,1500
21lex,Broadway,100
21lex,Secretariat,200
21lex,Chepauk,300
21lex,Q.M.C,400
21lex,Fore Shore Estate,500
21lex,A.M.S.Hospital,600
21lex,Adayar B.S.,700
21lex,Eng.College,800
21lex,Concorde,900
21lex,Jn.Of Race Course Rd,1000
21lex,Gurunanak College,1100
21lex,Velachery Vijaya Nagar,1200
21lex,A.V.Construction,1300
21lex,Ponniamman Koil Rd. Jn.,1400
21lex,Madipakkam Rd. Jn.,1500
21lex,Kilkattalai,1600
sm7,Saidapet,200
sm7,Concorde,300
sm7,Guindy Race Cource Office,400
sm7,Gurunanak College,500
sm7,Vijaya Nagar,600
sm7,I.R.T. Rd.Jn.,700
sm7,Srp Tools,800
sm7,Thiruvanmiyur,900
49a,Ayyappan Thangal,300
49a,Porur,400
572,Ambathur Estate,100
572,Dunlop,200
572,Ambathur OT,300
572,Thirumullaivoayl,400
572,Polytechnic,500
572,Avadi,600
572,Kavaraipalayam,700
572,Pattabiram,800
572,Nemilicheri,900
572,Thirunindravoor,1000
572,Veppumpattu Puliyamaram,1100
572,Perumalpattu,1200
572,Kandan Kollai,1300
572,Chevvaipettai R.S.,1400
572,Thozhudur,1500
572,Ramapuram,1600
572,Kakkalur,1700
572,Thiruvallur,1800
7m,Broadway,100
7m,Central,200
7m,Doveton,300
7m,Kelleys,400
7m,Kilpauk Garden,500
7m,Anna Nagar Circle,600
7m,Thirumangalam,700
7m,Golden Flat,800
7m,Mogapair West,900
49a,Valasaravakkam,500
579,Broadway,100
579,Central,200
579,P.Or & Sons,300
579,T.V.S,400
579,D.M.S,500
579,S.H.B,600
579,Saidapet,700
579,Concorde,800
579,Guindy R.S,900
579,St Thomas Mount Po,1000
579,Menamabakkam Old Airport,1100
579,Thirusoolam National Airp,1200
579,Pallavaram,1300
579,Chrompet,1400
579,T.B.Sanatorium,1500
579,Tambaram,1600
579,Tambaram Town Limit,1700
579,Perungalathur (Old),1800
579,Mudichur Village,1900
579,Manivakkam,2000
579,Karasangal,2100
7h,Central,200
7h,Doveton,300
7h,Kelleys,400
7h,Kilpauk Garden,500
7h,Anna Nagar Circle,600
7h,Thirumangalam,700
7h,Fire Station,800
7f,Broadway,100
7f,Central,200
7f,Doveton,300
7f,Kelleys,400
7f,Kilpauk Garden,500
7f,Anna Nagar Circle,600
7f,Thirumangalam,700
7f,Anna Nagar West,800
37g,V. Nagar,100
37g,Regal,200
37g,Lady Mctm School/Millers,400
37g,K.M.C,500
37g,Sterling Rd./Metrolog. De,600
37g,Corporation School/Office,700
37g,Veterinary Hospital,800
37g,Trustpuram,900
37g,Vadapalani B.S,1000
37g,Virugambakkam,1100
37g,Valasaravakkam,1200
37g,Porur,1300
m27h,Anna Square,100
m27h,Triplicane,200
m27h,Anna Road P.O./Dams Road,300
m27h,Postal Audit Office,400
m27h,Sterling Road,500
m27h,Nungambakkam R.S,600
m27h,Hotel Arun,700
